title,description,isCompleted
Comprar mantimentos,Comprar vegetais e frutas para a semana,true
Limpar o quarto,Limpar e organizar todas as coisas no quarto,false
Estudar para o exame de matemática,Revisar álgebra e geometria para o exame,true
Fazer exercícios físicos,Fazer uma caminhada de 30 minutos,false
Preparar o jantar,Cozinhar o jantar para a família,true
Fazer compras no mercado,Comprar itens de mercearia e produtos de limpeza,true
Estudar para a prova de história,Revisar os acontecimentos importantes do século XX,false
Enviar relatório ao cliente,Preparar e enviar o relatório de progresso do projeto,true
Caminhar no parque,Fazer uma caminhada relaxante de 1 hora no parque,false
Pagar as contas,Pagar as contas de água luz e internet,true
Ler livro,Ler pelo menos 30 páginas do livro atual,false
Preparar apresentação,Elaborar slides para a apresentação do projeto,true
Fazer exercícios de meditação,Praticar meditação por 15 minutos,false
Arrumar o armário,Organizar roupas e acessórios no armário,true
Assistir a aula online,Participar da aula de programação pelo computador,false